     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
      72   2.048084e+04   1.238e+04   1.681e+01   1.258e-01   2.331e+02   9.459e-01    2.152e+02    1.530e+02   1.841e+02   1.842e+02   9.755e-02  
      73   2.048113e+04   1.196e+04   2.239e+01   1.258e-01   2.229e+02   9.461e-01    2.152e+02    1.533e+02   1.843e+02   1.842e+02  -7.789e-02  
      74   2.048142e+04   1.167e+04   2.339e+01   1.258e-01   2.254e+02   9.578e-01    2.151e+02    1.531e+02   1.841e+02   1.842e+02   6.475e-02  
      75   2.048171e+04   1.006e+04   1.647e+01   1.258e-01   2.044e+02   9.518e-01    2.153e+02    1.533e+02   1.843e+02   1.842e+02  -4.929e-02  
      76   2.048200e+04   7.984e+03   1.563e+01   1.258e-01   1.785e+02   9.622e-01    2.151e+02    1.531e+02   1.841e+02   1.842e+02   8.672e-02  
      77   2.048228e+04   6.431e+03   1.342e+01   1.258e-01   1.542e+02   9.574e-01    2.153e+02    1.533e+02   1.843e+02   1.842e+02  -3.505e-02  
      78   2.048257e+04   7.350e+03   1.208e+01   1.258e-01   1.670e+02   9.458e-01    2.153e+02    1.532e+02   1.842e+02   1.843e+02   4.479e-02  
      79   2.048286e+04   9.422e+03   1.691e+01   1.258e-01   1.971e+02   9.580e-01    2.153e+02    1.534e+02   1.843e+02   1.843e+02  -3.630e-02  
      80   2.048315e+04   1.107e+04   1.299e+01   1.258e-01   2.167e+02   9.616e-01    2.153e+02    1.532e+02   1.843e+02   1.843e+02   2.682e-02  
      81   2.048344e+04   1.168e+04   1.887e+01   1.258e-01   2.276e+02   9.762e-01    2.155e+02    1.534e+02   1.844e+02   1.843e+02  -1.408e-01  
      82   2.048373e+04   1.247e+04   1.616e+01   1.258e-01   2.361e+02   9.748e-01    2.153e+02    1.533e+02   1.843e+02   1.843e+02   1.427e-02  
      83   2.048401e+04   1.251e+04   1.925e+01   1.258e-01   2.398e+02   9.821e-01    2.155e+02    1.533e+02   1.844e+02   1.843e+02  -6.493e-02  
      84   2.048430e+04   1.273e+04   2.163e+01   1.258e-01   2.381e+02   9.705e-01    2.151e+02    1.531e+02   1.841e+02   1.843e+02   2.033e-01  
      85   2.048459e+04   1.256e+04   2.383e+01   1.258e-01   2.369e+02   9.685e-01    2.153e+02    1.532e+02   1.842e+02   1.843e+02   1.020e-01  
      86   2.048488e+04   1.275e+04   2.621e+01   1.258e-01   2.367e+02   9.658e-01    2.152e+02    1.531e+02   1.841e+02   1.844e+02   2.294e-01  
      87   2.048517e+04   1.247e+04   2.600e+01   1.258e-01   2.318e+02   9.556e-01    2.154e+02    1.534e+02   1.844e+02   1.844e+02  -5.255e-02  
      88   2.048546e+04   1.263e+04   2.457e+01   1.258e-01   2.367e+02   9.677e-01    2.154e+02    1.532e+02   1.843e+02   1.844e+02   7.938e-02  
      89   2.048574e+04   1.210e+04   2.819e+01   1.258e-01   2.298e+02   9.696e-01    2.153e+02    1.535e+02   1.844e+02   1.844e+02   4.562e-03  
      90   2.048603e+04   1.140e+04   2.232e+01   1.258e-01   2.232e+02   9.725e-01    2.153e+02    1.533e+02   1.843e+02   1.844e+02   8.663e-02  
      91   2.048632e+04   1.010e+04   1.746e+01   1.258e-01   2.079e+02   9.703e-01    2.154e+02    1.534e+02   1.844e+02   1.844e+02   4.272e-02  
      92   2.048661e+04   8.807e+03   1.300e+01   1.258e-01   1.902e+02   9.661e-01    2.154e+02    1.534e+02   1.844e+02   1.844e+02   2.536e-02  
      93   2.048690e+04   7.095e+03   1.280e+01   1.258e-01   1.657e+02   9.663e-01    2.154e+02    1.536e+02   1.845e+02   1.844e+02  -2.008e-02  
      94   2.048719e+04   5.743e+03   1.619e+01   1.258e-01   1.440e+02   9.623e-01    2.153e+02    1.534e+02   1.843e+02   1.845e+02   1.335e-01  
      95   2.048748e+04   5.177e+03   1.284e+01   1.258e-01   1.334e+02   9.618e-01    2.154e+02    1.535e+02   1.844e+02   1.845e+02   1.557e-02  
      96   2.048776e+04   6.872e+03   1.268e+01   1.258e-01   1.620e+02   9.709e-01    2.156e+02    1.535e+02   1.846e+02   1.845e+02  -7.472e-02  
      97   2.048805e+04   9.410e+03   1.452e+01   1.258e-01   1.978e+02   9.713e-01    2.156e+02    1.536e+02   1.846e+02   1.845e+02  -9.356e-02  
      98   2.048834e+04   1.140e+04   1.944e+01   1.258e-01   2.235e+02   9.768e-01    2.156e+02    1.534e+02   1.845e+02   1.845e+02  -5.342e-03  
      99   2.048863e+04   1.211e+04   1.779e+01   1.258e-01   2.323e+02   9.828e-01    2.155e+02    1.536e+02   1.846e+02   1.845e+02  -3.883e-02  
     100   2.048892e+04   1.243e+04   1.780e+01   1.258e-01   2.392e+02   9.877e-01    2.155e+02    1.535e+02   1.845e+02   1.845e+02   5.605e-02  
     101   2.048921e+04   1.254e+04   1.571e+01   1.258e-01   2.396e+02   9.857e-01    2.155e+02    1.535e+02   1.845e+02   1.845e+02   4.382e-02  
     102   2.048950e+04   1.278e+04   2.376e+01   1.258e-01   2.405e+02   9.804e-01    2.155e+02    1.533e+02   1.844e+02   1.846e+02   1.294e-01  
     103   2.048978e+04   1.274e+04   1.987e+01   1.258e-01   2.380e+02   9.786e-01    2.154e+02    1.536e+02   1.845e+02   1.846e+02   3.735e-02  
     104   2.049007e+04   1.292e+04   2.164e+01   1.258e-01   2.417e+02   9.808e-01    2.155e+02    1.535e+02   1.845e+02   1.846e+02   5.223e-02  
     105   2.049036e+04   1.256e+04   1.692e+01   1.258e-01   2.379e+02   9.837e-01    2.157e+02    1.536e+02   1.846e+02   1.846e+02  -5.411e-02  
     106   2.049065e+04   1.287e+04   1.835e+01   1.258e-01   2.419e+02   9.877e-01    2.155e+02    1.536e+02   1.846e+02   1.846e+02   5.030e-02  
     107   2.049094e+04   1.220e+04   2.064e+01   1.258e-01   2.382e+02   9.972e-01    2.155e+02    1.535e+02   1.845e+02   1.846e+02   1.504e-01  
     108   2.049123e+04   1.196e+04   1.776e+01   1.258e-01   2.337e+02   9.928e-01    2.154e+02    1.535e+02   1.844e+02   1.846e+02   1.977e-01  
     109   2.049152e+04   1.148e+04   1.899e+01   1.258e-01   2.260e+02   9.840e-01    2.156e+02    1.537e+02   1.846e+02   1.846e+02   1.519e-02  
     110   2.049181e+04   1.094e+04   1.572e+01   1.258e-01   2.196e+02   9.816e-01    2.156e+02    1.535e+02   1.845e+02   1.846e+02   1.107e-01  
     111   2.049209e+04   8.896e+03   1.618e+01   1.258e-01   1.912e+02   9.679e-01    2.154e+02    1.536e+02   1.845e+02   1.847e+02   1.173e-01  
     112   2.049238e+04   6.389e+03   1.942e+01   1.258e-01   1.545e+02   9.681e-01    2.156e+02    1.535e+02   1.845e+02   1.847e+02   1.664e-01  
     113   2.049267e+04   4.582e+03   1.320e+01   1.258e-01   1.225e+02   9.723e-01    2.156e+02    1.538e+02   1.847e+02   1.847e+02  -1.910e-02  
     114   2.049296e+04   5.287e+03   1.284e+01   1.258e-01   1.362e+02   9.696e-01    2.157e+02    1.538e+02   1.847e+02   1.847e+02  -4.936e-02  
     115   2.049325e+04   7.143e+03   1.461e+01   1.258e-01   1.693e+02   9.918e-01    2.161e+02    1.538e+02   1.849e+02   1.847e+02  -2.371e-01  
     116   2.049354e+04   8.248e+03   1.017e+01   1.258e-01   1.861e+02   9.936e-01    2.157e+02    1.537e+02   1.847e+02   1.847e+02   8.022e-03  
     117   2.049383e+04   8.702e+03   1.081e+01   1.258e-01   1.921e+02   9.883e-01    2.157e+02    1.538e+02   1.848e+02   1.847e+02  -2.795e-02  
     118   2.049412e+04   1.002e+04   1.553e+01   1.258e-01   2.090e+02   9.900e-01    2.159e+02    1.537e+02   1.848e+02   1.847e+02  -5.158e-02  
     119   2.049441e+04   1.113e+04   1.133e+01   1.258e-01   2.227e+02   9.766e-01    2.159e+02    1.538e+02   1.849e+02   1.848e+02  -1.084e-01  
     120   2.049469e+04   1.218e+04   1.840e+01   1.258e-01   2.313e+02   9.898e-01    2.161e+02    1.538e+02   1.850e+02   1.848e+02  -2.126e-01  
     121   2.049498e+04   1.206e+04   1.631e+01   1.258e-01   2.357e+02   9.923e-01    2.158e+02    1.539e+02   1.848e+02   1.848e+02  -6.524e-02  
     122   2.049527e+04   1.189e+04   1.290e+01   1.258e-01   2.314e+02   9.982e-01    2.157e+02    1.535e+02   1.846e+02   1.848e+02   1.636e-01  
     123   2.049556e+04   1.227e+04   1.946e+01   1.258e-01   2.324e+02   9.919e-01    2.159e+02    1.538e+02   1.849e+02   1.848e+02  -5.444e-02  
     124   2.049585e+04   1.243e+04   1.804e+01   1.258e-01   2.416e+02   1.016e+00    2.159e+02    1.538e+02   1.848e+02   1.848e+02  -1.047e-02  
     125   2.049614e+04   1.217e+04   2.068e+01   1.258e-01   2.384e+02   1.008e+00    2.158e+02    1.537e+02   1.848e+02   1.848e+02   5.335e-02  
     126   2.049643e+04   1.236e+04   1.598e+01   1.258e-01   2.369e+02   9.926e-01    2.156e+02    1.538e+02   1.847e+02   1.848e+02   1.450e-01  
     127   2.049672e+04   1.168e+04   2.106e+01   1.258e-01   2.296e+02   9.950e-01    2.159e+02    1.539e+02   1.849e+02   1.849e+02  -2.523e-02  
     128   2.049701e+04   1.140e+04   1.756e+01   1.258e-01   2.276e+02   9.946e-01    2.159e+02    1.537e+02   1.848e+02   1.849e+02   6.864e-02  
     129   2.049730e+04   9.330e+03   1.495e+01   1.258e-01   1.982e+02   9.831e-01    2.159e+02    1.539e+02   1.849e+02   1.849e+02  -5.662e-03  
     130   2.049758e+04   7.119e+03   1.701e+01   1.258e-01   1.673e+02   9.944e-01    2.159e+02    1.539e+02   1.849e+02   1.849e+02   5.247e-03  
     131   2.049787e+04   4.864e+03   2.453e+01   1.258e-01   1.292e+02   1.003e+00    2.159e+02    1.540e+02   1.849e+02   1.849e+02  -3.130e-02  
     132   2.049816e+04   5.072e+03   9.212e+01   1.258e-01   1.249e+02   1.008e+00    2.157e+02    1.540e+02   1.849e+02   1.849e+02   5.072e-02  
     133   2.049845e+04   6.503e+03   1.877e+02   1.258e-01   1.382e+02   9.991e-01    2.160e+02    1.541e+02   1.850e+02   1.849e+02  -1.166e-01  
     134   2.049874e+04   8.533e+03   2.369e+02   1.258e-01   1.637e+02   9.968e-01    2.159e+02    1.540e+02   1.849e+02   1.849e+02   2.408e-02  
     135   2.049903e+04   9.503e+03   1.760e+02   1.258e-01   1.796e+02   9.848e-01    2.156e+02    1.540e+02   1.848e+02   1.850e+02   1.507e-01  
     136   2.049932e+04   1.109e+04   8.374e+01   1.258e-01   2.119e+02   9.898e-01    2.159e+02    1.541e+02   1.850e+02   1.850e+02  -9.651e-03  
     137   2.049961e+04   1.164e+04   2.416e+01   1.258e-01   2.277e+02   9.998e-01    2.159e+02    1.544e+02   1.852e+02   1.850e+02  -1.915e-01  
     138   2.049990e+04   1.204e+04   1.974e+01   1.258e-01   2.345e+02   9.982e-01    2.159e+02    1.541e+02   1.850e+02   1.850e+02   2.355e-04  
     139   2.050019e+04   1.190e+04   1.679e+01   1.258e-01   2.325e+02   1.008e+00    2.161e+02    1.544e+02   1.852e+02   1.850e+02  -2.209e-01  
     140   2.050048e+04   1.132e+04   2.104e+01   1.259e-01   2.277e+02   1.001e+00    2.160e+02    1.540e+02   1.850e+02   1.850e+02   2.440e-02  
     141   2.050077e+04   1.010e+04   1.715e+01   2.519e-01   2.078e+02   1.004e+00    2.160e+02    1.541e+02   1.851e+02   1.850e+02  -2.947e-02  
     142   2.050105e+04   9.220e+03   1.855e+01   2.239e+01   2.034e+02   1.022e+00    2.159e+02    1.540e+02   1.850e+02   1.850e+02   7.129e-02  
     143   2.050134e+04   9.496e+03   1.292e+01   4.412e+02   2.026e+02   1.010e+00    2.161e+02    1.543e+02   1.852e+02   1.851e+02  -1.540e-01  
     144   2.050163e+04   1.087e+04   1.664e+01   9.809e+02   2.243e+02   1.015e+00    2.159e+02    1.541e+02   1.850e+02   1.851e+02   7.054e-02  
     145   2.050192e+04   1.135e+04   1.210e+01   2.448e+02   2.268e+02   1.002e+00    2.160e+02    1.543e+02   1.852e+02   1.851e+02  -8.886e-02  
     146   2.050221e+04   1.143e+04   1.714e+01   6.977e+00   2.259e+02   9.974e-01    2.160e+02    1.541e+02   1.851e+02   1.851e+02   1.846e-02  
     147   2.050250e+04   1.034e+04   1.756e+01   1.473e-01   2.157e+02   1.014e+00    2.160e+02    1.543e+02   1.852e+02   1.851e+02  -5.932e-02  
     148   2.050279e+04   8.260e+03   1.732e+01   1.258e-01   1.867e+02   1.018e+00    2.160e+02    1.542e+02   1.851e+02   1.851e+02   2.230e-02  
     149   2.050308e+04   5.392e+03   4.531e+00   1.258e-01   1.437e+02   1.023e+00    2.160e+02    1.545e+02   1.853e+02   1.851e+02  -1.403e-01  
     150   2.050337e+04   3.498e+03   3.764e+00   1.258e-01   1.078e+02   1.035e+00    2.160e+02    1.542e+02   1.851e+02   1.851e+02   5.009e-02  
     151   2.050366e+04   4.074e+03   5.852e+00   1.258e-01   1.173e+02   9.989e-01    2.160e+02    1.543e+02   1.852e+02   1.852e+02  -1.110e-02  
     152   2.050395e+04   6.659e+03   1.472e+01   1.258e-01   1.630e+02   9.985e-01    2.160e+02    1.542e+02   1.851e+02   1.852e+02   7.291e-02  
     153   2.050424e+04   8.909e+03   1.161e+01   1.258e-01   1.959e+02   9.967e-01    2.160e+02    1.545e+02   1.852e+02   1.852e+02  -4.254e-02  
     154   2.050453e+04   1.057e+04   1.681e+01   1.258e-01   2.145e+02   9.859e-01    2.160e+02    1.543e+02   1.852e+02   1.852e+02   1.395e-02  
     155   2.050482e+04   1.217e+04   1.975e+01   1.258e-01   2.470e+02   1.016e+00    2.160e+02    1.538e+02   1.849e+02   1.852e+02   3.191e-01  
     156   2.050511e+04   1.179e+04   1.548e+01   1.258e-01   2.114e+02   9.993e-01    2.161e+02    1.546e+02   1.854e+02   1.852e+02  -1.628e-01  
     157   2.050540e+04   1.181e+04   1.884e+01   1.258e-01   2.289e+02   1.006e+00    2.162e+02    1.548e+02   1.855e+02   1.852e+02  -2.628e-01  
     158   2.050568e+04   1.213e+04   1.758e+01   1.258e-01   2.433e+02   1.039e+00    2.162e+02    1.544e+02   1.853e+02   1.852e+02  -7.305e-02  
     159   2.050597e+04   1.205e+04   2.071e+01   1.258e-01   2.344e+02   1.009e+00    2.162e+02    1.547e+02   1.855e+02   1.853e+02  -2.285e-01  
